"MEASURE","Measure","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2013","2013",1943855,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2014","2014",1973923,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2015","2015",1998937,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2016","2016",2019263,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2017","2017",2037902,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2018","2018",2059484,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2001","2001",59145,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2002","2002",60070,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2003","2003",62721,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2004","2004",65749,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2005","2005",68262,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2006","2006",70623,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2007","2007",73439,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2008","2008",77689,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2009","2009",81585,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2010","2010",83762,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2011","2011",87424,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2012","2012",91243,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2013","2013",94544,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2014","2014",96632,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2015","2015",98291,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2016","2016",99663,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2017","2017",100571,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","502","Mandurah","A","Annual","2018","2018",102031,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2001","2001",59145,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2002","2002",60070,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2003","2003",62721,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2004","2004",65749,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2005","2005",68262,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2006","2006",70623,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2007","2007",73439,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2008","2008",77689,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2009","2009",81585,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2010","2010",83762,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2011","2011",87424,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2012","2012",91243,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2013","2013",94544,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2014","2014",96632,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2015","2015",98291,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2016","2016",99663,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2017","2017",100571,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","50201","Mandurah","A","Annual","2018","2018",102031,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2001","2001",2867,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2002","2002",3047,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2003","2003",3369,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2004","2004",3725,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2005","2005",4160,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2006","2006",4451,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2007","2007",4770,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2008","2008",5093,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2009","2009",5421,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2010","2010",5520,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2011","2011",5815,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2012","2012",6192,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2013","2013",6489,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2014","2014",6743,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2015","2015",7034,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2016","2016",7337,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2017","2017",7557,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011021","Dawesville - Bouvard","A","Annual","2018","2018",7935,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2001","2001",4622,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2002","2002",4817,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2003","2003",5248,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2004","2004",5619,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2005","2005",5919,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2006","2006",6073,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2007","2007",6222,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2008","2008",6720,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2009","2009",7191,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2010","2010",7344,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2011","2011",7812,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2012","2012",8297,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2013","2013",8769,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2014","2014",8876,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2015","2015",8975,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2016","2016",9060,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2017","2017",9210,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011022","Falcon - Wannanup","A","Annual","2018","2018",9235,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2001","2001",9118,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2002","2002",9024,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2003","2003",9303,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2004","2004",9742,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2005","2005",9761,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2006","2006",9819,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2007","2007",9899,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2008","2008",10027,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2009","2009",10256,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2010","2010",10331,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2011","2011",10400,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2012","2012",10323,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2013","2013",10266,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2014","2014",10211,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2015","2015",10182,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2016","2016",10139,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2017","2017",10002,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011023","Greenfields","A","Annual","2018","2018",9906,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2001","2001",11623,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2002","2002",12027,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2003","2003",12867,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2004","2004",13681,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2005","2005",14420,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2006","2006",14881,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2007","2007",15379,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2008","2008",16232,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2009","2009",17213,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2010","2010",17526,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2011","2011",18047,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2012","2012",18487,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2013","2013",18816,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2014","2014",19002,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2015","2015",19092,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2016","2016",19145,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2017","2017",19272,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011024","Halls Head - Erskine","A","Annual","2018","2018",19454,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2001","2001",8148,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2002","2002",8049,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2003","2003",8031,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2004","2004",8053,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2005","2005",8159,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2006","2006",8121,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2007","2007",8225,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2008","2008",8356,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2009","2009",8528,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2010","2010",8703,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2011","2011",9065,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2012","2012",9237,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2013","2013",9373,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2014","2014",9459,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2015","2015",9502,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2016","2016",9491,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2017","2017",9176,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011025","Mandurah","A","Annual","2018","2018",9009,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2001","2001",4039,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2002","2002",4200,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2003","2003",4472,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2004","2004",4694,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2005","2005",4866,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2006","2006",4972,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2007","2007",5012,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2008","2008",5049,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2009","2009",5093,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2010","2010",5118,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2011","2011",5150,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2012","2012",5312,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2013","2013",5513,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2014","2014",5703,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2015","2015",5868,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2016","2016",6019,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2017","2017",6166,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011026","Mandurah - East","A","Annual","2018","2018",6367,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2001","2001",5502,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2002","2002",5652,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2003","2003",5866,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2004","2004",6160,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2005","2005",6526,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2006","2006",7477,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2007","2007",8629,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2008","2008",9978,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2009","2009",10947,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2010","2010",11706,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2011","2011",13071,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2012","2012",14528,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2013","2013",15795,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2014","2014",16803,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2015","2015",17556,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2016","2016",18251,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2017","2017",18928,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011027","Mandurah - North","A","Annual","2018","2018",19708,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2001","2001",7523,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2002","2002",7472,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2003","2003",7610,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2004","2004",8029,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2005","2005",8259,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2006","2006",8478,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2007","2007",8657,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2008","2008",9069,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2009","2009",9238,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2010","2010",9388,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2011","2011",9735,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2012","2012",10052,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2013","2013",10338,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2014","2014",10361,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2015","2015",10394,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2016","2016",10397,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2017","2017",10426,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011028","Mandurah - South","A","Annual","2018","2018",10468,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2001","2001",5703,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2002","2002",5782,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2003","2003",5955,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2004","2004",6046,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2005","2005",6192,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2006","2006",6351,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2007","2007",6646,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2008","2008",7165,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2009","2009",7698,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2010","2010",8126,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2011","2011",8329,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2012","2012",8815,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2013","2013",9185,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2014","2014",9474,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2015","2015",9688,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2016","2016",9824,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2017","2017",9834,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","502011029","Pinjarra","A","Annual","2018","2018",9949,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","503","Perth - Inner","A","Annual","2001","2001",139380,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","503","Perth - Inner","A","Annual","2002","2002",141346,,
